,name
385,nizhneyansk
386,loandjili
387,batagay-alyta
388,broken hill
389,kosum phisai
390,byron bay
391,banjarmasin
392,marica
393,matara
394,vostok
395,la tuque
396,laguna
397,tiksi
398,nouadhibou
399,pyay
400,northam
401,kalevala
402,kuche
403,griffith
404,borba
405,starodub
406,nuuk
407,churapcha
408,nyurba
409,airai
410,simpang
411,rawson
412,meulaboh
413,terney
414,nanjangud
415,onega
416,okhotsk
417,sitka
418,vaitape
419,olinda
420,revda
421,leningradskiy
422,vila
423,sal rei
424,kamien pomorski
425,pevek
426,miandoab
427,havoysund
428,ferrol
429,mahina
430,mayo
431,teofilo otoni
432,barcarena
433,barcelos
434,chazuta
435,lagunas
436,hokitika
437,shatin
438,springbok
439,xinye
440,gazojak
441,tlalpujahua
442,takaka
443,goundi
444,tura
445,balimo
446,ossora
447,port hedland
448,zhaozhou
449,anadyr
450,lavrentiya
451,ixtapa
452,spornoye
453,gushikawa
454,grafton
455,vila do maio
456,seymchan
457,juneau
458,saleaula
459,akureyri
460,pringsewu
461,fayaoue
462,lincoln
463,evensk
464,boende
465,elliot lake
466,tuatapere
467,caernarfon
468,bazaliya
469,vagur
470,westport
471,berlevag
472,phan rang
473,paraul
474,sao joao do piaui
475,ardrishaig
476,luganville
477,rovaniemi
478,fortuna
479,wanning
480,san francisco del mar
481,saint-joseph
482,selkirk
483,ambilobe
484,hofn
485,kysyl-syr
486,liusha
487,oga
488,kutum
489,tobetsu
490,abha
491,bayanday
492,broome
493,kadykchan
494,marsh harbour
495,lima
496,novoulyanovsk
497,jalu
498,takahashi
499,kununurra
500,sompeta
501,kisangani
502,necochea
503,ocampo
504,coquimbo
505,likasi
506,gouyave
507,rila
508,alotau
509,huaicheng
510,kegayli
511,sabang
512,omboue
513,washington
514,tougue
515,koslan
516,sain alto
517,ardabil
518,qaqortoq
519,yeppoon
520,oktyabrskiy
521,kiunga
522,chake chake
523,trinidad
524,talnakh
525,toora-khem
526,kruisfontein
527,agadez
528,najran
529,umzimvubu
530,hirara
531,alyangula
532,pundaguitan
533,andenes
534,imuris
535,harper
536,kita
537,khomutovo
538,bridlington
539,kendari
540,eldorado
541,beidaud
542,mahibadhoo
543,dongsheng
544,nador
545,pangnirtung
546,haines junction
547,tsentralnyy
548,pangai
549,pithiviers
550,izhma
551,atambua
552,strezhevoy
553,birao
554,new iberia
555,ihosy
556,huangpu
557,puerto escondido
558,sorvag
559,haibowan
560,am timan
561,duz
562,pantai remis
563,billings
564,kon tum
565,teya
566,salantai
567,mergui
568,sembe
569,zabol
570,busing
571,gualdo tadino
572,victor harbor
573,dickinson
574,svetlyy
575,bilibino
576,bafq
577,miram shah
578,manacapuru
579,kemijarvi
580,dhidhdhoo
581,kathu
582,ulundi
583,annau
584,chakan
585,belousovka
586,jaipur hat
587,skalistyy
588,vikulovo
589,edmundston
590,jiaojiang
591,camana
592,moses lake
593,san andres
594,lagoa
595,sangar
596,longlac
597,marawi
598,senneterre
599,paramonga
600,gladstone
601,soe
602,hargeysa
603,stende
604,umm lajj
605,batemans bay
606,tiznit
607,yoichi
608,lensk
609,banda aceh
610,katete
